Borough,Neighborhood
1,ALPHABET CITY
1,CHELSEA
1,CHINATOWN
1,CIVIC CENTER
1,CLINTON
1,EAST VILLAGE
1,FASHION
1,FINANCIAL
1,FLATIRON
1,GRAMERCY
1,GREENWICH VILLAGE-CENTRAL
1,GREENWICH VILLAGE-WEST
1,HARLEM-CENTRAL
1,HARLEM-EAST
1,HARLEM-UPPER
1,HARLEM-WEST
1,INWOOD
1,JAVITS CENTER
1,KIPS BAY
1,LITTLE ITALY
1,LOWER EAST SIDE
1,MANHATTAN VALLEY
1,MANHATTAN-UNKNOWN
1,MIDTOWN CBD
1,MIDTOWN EAST
1,MIDTOWN WEST
1,MORNINGSIDE HEIGHTS
1,MURRAY HILL
1,ROOSEVELT ISLAND
1,SOHO
1,SOUTHBRIDGE
1,TRIBECA
1,UPPER EAST SIDE (59-79)
1,UPPER EAST SIDE (79-96)
1,UPPER EAST SIDE (96-110)
1,UPPER WEST SIDE (59-79)
1,UPPER WEST SIDE (79-96)
1,UPPER WEST SIDE (96-116)
1,WASHINGTON HEIGHTS LOWER
1,WASHINGTON HEIGHTS UPPER
3,BATH BEACH
3,BAY RIDGE
3,BEDFORD STUYVESANT
3,BENSONHURST
3,BERGEN BEACH
3,BOERUM HILL
3,BOROUGH PARK
3,BRIGHTON BEACH
3,BROOKLYN HEIGHTS
3,BROOKLYN-UNKNOWN
3,BROWNSVILLE
3,BUSH TERMINAL
3,BUSHWICK
3,CANARSIE
3,CARROLL GARDENS
3,CLINTON HILL
3,COBBLE HILL
3,COBBLE HILL-WEST
3,CONEY ISLAND
3,CROWN HEIGHTS
3,CYPRESS HILLS
3,DOWNTOWN-FULTON FERRY
3,DOWNTOWN-FULTON MALL
3,DOWNTOWN-METROTECH
3,DYKER HEIGHTS
3,EAST NEW YORK
3,FLATBUSH-CENTRAL
3,FLATBUSH-EAST
3,FLATBUSH-LEFFERTS GARDEN
3,FLATBUSH-NORTH
3,FLATLANDS
3,FORT GREENE
3,GERRITSEN BEACH
3,GOWANUS
3,GRAVESEND
3,GREENPOINT
3,JAMAICA BAY
3,KENSINGTON
3,MADISON
3,MANHATTAN BEACH
3,MARINE PARK
3,MIDWOOD
3,MILL BASIN
3,NAVY YARD
3,OCEAN HILL
3,OCEAN PARKWAY-NORTH
3,OCEAN PARKWAY-SOUTH
3,OLD MILL BASIN
3,PARK SLOPE
3,PARK SLOPE SOUTH
3,PROSPECT HEIGHTS
3,RED HOOK
3,SEAGATE
3,SHEEPSHEAD BAY
3,SPRING CREEK
3,SUNSET PARK
3,WILLIAMSBURG-CENTRAL
3,WILLIAMSBURG-EAST
3,WILLIAMSBURG-NORTH
3,WILLIAMSBURG-SOUTH
3,WINDSOR TERRACE
3,WYCKOFF HEIGHTS
4,AIRPORT JFK
4,AIRPORT LA GUARDIA
4,ARVERNE
4,ASTORIA
4,BAYSIDE
4,BEECHHURST
4,BELLE HARBOR
4,BELLEROSE
4,BRIARWOOD
4,BROAD CHANNEL
4,CAMBRIA HEIGHTS
4,COLLEGE POINT
4,CORONA
4,DOUGLASTON
4,EAST ELMHURST
4,ELMHURST
4,FAR ROCKAWAY
4,FLORAL PARK
4,FLUSHING MEADOW PARK
4,FLUSHING-NORTH
4,FLUSHING-SOUTH
4,FOREST HILLS
4,FRESH MEADOWS
4,GLEN OAKS
4,GLENDALE
4,HAMMELS
4,HILLCREST
4,HOLLIS
4,HOLLIS HILLS
4,HOLLISWOOD
4,HOWARD BEACH
4,JACKSON HEIGHTS
4,JAMAICA
4,JAMAICA BAY
4,JAMAICA ESTATES
4,JAMAICA HILLS
4,KEW GARDENS
4,LAURELTON
4,LITTLE NECK
4,LONG ISLAND CITY
4,MASPETH
4,MIDDLE VILLAGE
